palabra1,palabra2,compuesta,Clase
scallop,tuna,scallop tuna,0
charred,broccolini,charred broccolini,1
sausage,flatbread,sausage flatbread,1
chef,make,chef make,0
korean,noodle,korean noodle,0
small,ribeye,small ribeye,1
dish,piece,dish piece,0
golden,sesame,golden sesame,0
doughnut,dough,doughnut dough,0
steak,marinated,steak marinated,1
cooky,italian,cooky italian,1
honey,sushi,honey sushi,0
half,lobster,half lobster,1
huge,milkshake,huge milkshake,1
chocolate,oasi,chocolate oasi,0
red,mongolian,red mongolian,0
almond,olife,almond olife,1
chicken,chow,chicken chow,1
agnolotti,pastum,agnolotti pastum,0
salad,sandwich,salad sandwich,1
potato,cooked,potato cooked,1
pastry,vanilla,pastry vanilla,1
entree,side,entree side,0
chilli,smoked,chilli smoked,1
belgian,berry,belgian berry,0
noodle,fry,noodle fry,0
potato,fritter,potato fritter,1
dinner,combination,dinner combination,0
chicken,indian,chicken indian,1
alfredo,creamy,alfredo creamy,0
vinegar,green,vinegar green,1
sandwhich,grilled,sandwhich grilled,0
scone,day,scone day,0
sauce,lemon,sauce lemon,1
fresh,red,fresh red,0
mustard,rosemary,mustard rosemary,1
calamari,bacon,calamari bacon,0
instead,chicken,instead chicken,0
garlic,spice,garlic spice,1
potato,orange,potato orange,0
rib,caramelized,rib caramelized,1
bean,combination,bean combination,0
pepperoni,slouse,pepperoni slouse,1
stuff,hot,stuff hot,0
bacon,donut,bacon donut,0
pastum,baked,pastum baked,1
bubble,waffle,bubble waffle,1
kimchi,fried,kimchi fried,1
tofu,cream,tofu cream,1
shrimp,olive,shrimp olive,1
tomato,bacon,tomato bacon,0
pickle,lettuce,pickle lettuce,1
traditional,acai,traditional acai,0
tiramisu,gelato,tiramisu gelato,1
chorizo,carbonara,chorizo carbonara,1
homemade,fresh,homemade fresh,0
okonomiyaki,pastum,okonomiyaki pastum,1
wrapped,dog,wrapped dog,1
taco,mango,taco mango,1
guava,glaze,guava glaze,0
spicy,bulgogi,spicy bulgogi,1
tasty,chilean,tasty chilean,0
honey,lavender,honey lavender,1
tomato,butter,tomato butter,0
served,frozen,served frozen,0
pitum,appetizer,pitum appetizer,0
lunch,bowl,lunch bowl,0
strawberry,blackberry,strawberry blackberry,0
special,seafood,special seafood,1
squash,pizza,squash pizza,1
lettuce,yuzu,lettuce yuzu,1
trio,cookie,trio cookie,0
bubble,sweet,bubble sweet,1
macaron,chai,macaron chai,1
radish,daikon,radish daikon,1
double,dog,double dog,0
slouse,grapefruit,slouse grapefruit,0
wine,poached,wine poached,0
crispy,thai,crispy thai,1
lunch,beef,lunch beef,0
hollandaise,cherry,hollandaise cherry,1
crab,potato,crab potato,0
onion,chimichurri,onion chimichurri,1
tea,yummy,tea yummy,0
cauliflower,pop,cauliflower pop,1
gelato,flavor,gelato flavor,1
tuna,nigiri,tuna nigiri,0
jelly,ball,jelly ball,1
crab,bone,crab bone,1
bagel,salmon,bagel salmon,0
strawberry,drizzled,strawberry drizzled,1
flavorful,little,flavorful little,1
slider,black,slider black,0
tea,crunch,tea crunch,1
medium,hot,medium hot,
cod,pineapple,cod pineapple,0
scallion,half,scallion half,0
cheeseburger,fried,cheeseburger fried,1
tea,caramel,tea caramel,0
broccoli,sandwich,broccoli sandwich,1
topped,green,topped green,0
mango,arugula,mango arugula,1
corn,aka,corn aka,0
squash,hazelnut,squash hazelnut,0
broccoli,lunch,broccoli lunch,0
fried,bacon,fried bacon,1
buffalo,wrap,buffalo wrap,0
day,smoked,day smoked,0
meatloaf,avocado,meatloaf avocado,1
seed,rice,seed rice,1
pepperoni,salami,pepperoni salami,0
asada,adobada,asada adobada,0
sliced,banana,sliced banana,0
bean,cranberry,bean cranberry,0
fried,tomato,fried tomato,0
chicken,stew,chicken stew,1
special,cheese,special cheese,1
roll,danish,roll danish,0
sandwich,tostone,sandwich tostone,1
dressing,chicken,dressing chicken,0
macaron,fruit,macaron fruit,0
lemonade,free,lemonade free,0
seared,crispy,seared crispy,1
mango,salsa,mango salsa,1
duck,special,duck special,0
mild,wing,mild wing,0
tenderloin,pecan,tenderloin pecan,1
big,slice,big slice,0
roe,tuna,roe tuna,1
butter,warm,butter warm,1
andouille,cheddar,andouille cheddar,0
clam,black,clam black,0
crawfish,bread,crawfish bread,0
cottum,cinnamon,cottum cinnamon,0
pepper,flavor,pepper flavor,0
sampler,shrimp,sampler shrimp,1
sandwich,meal,sandwich meal,1
bacon,croissant,bacon croissant,1
beef,baked,beef baked,0
wrap,yummy,wrap yummy,0
pork,chip,pork chip,1
paella,classic,paella classic,0
rosemary,oil,rosemary oil,1
honey,orange,honey orange,1
style,fry,style fry,1
trout,seared,trout seared,0
cheese,egg,cheese egg,0
lasagna,verde,lasagna verde,1
beer,pie,beer pie,0
shredded,mozzarella,shredded mozzarella,1
poutine,cheese,poutine cheese,1
sirloin,tomato,sirloin tomato,1
vanilla,lemon,vanilla lemon,0
jalapeno,ranch,jalapeno ranch,1
cheese,huge,cheese huge,0
ricottum,smoked,ricottum smoked,1
savory,old,savory old,0
cookie,double,cookie double,0
rosemary,chicken,rosemary chicken,1
fried,quail,fried quail,1
cheese,cooked,cheese cooked,1
quinoa,fried,quinoa fried,1
pancake,spot,pancake spot,0
raman,spice,raman spice,0
fry,aioli,fry aioli,0
happy,rosemary,happy rosemary,0
grilled,turkey,grilled turkey,1
brussel,bean,brussel bean,1
lemonade,coconut,lemonade coconut,1
chip,macaron,chip macaron,0
white,fish,white fish,0
strip,steakhouse,strip steakhouse,0
creme,flan,creme flan,0
gorgeou,dessert,gorgeou dessert,0
candied,winter,candied winter,0
free,huge,free huge,0
sandwich,bird,sandwich bird,0
caramel,fresh,caramel fresh,1
leafe,lavender,leafe lavender,1
seared,shrimp,seared shrimp,0
cheesecake,red,cheesecake red,0
lunch,friend,lunch friend,0
tofu,black,tofu black,0
coconut,cream,coconut cream,1
appetizer,mini,appetizer mini,0
crusted,salmon,crusted salmon,1
asparagu,chow,asparagu chow,1
huge,fried,huge fried,0
tempura,food,tempura food,0
spanish,mackerel,spanish mackerel,0
churro,chocolate,churro chocolate,0
gyoza,beef,gyoza beef,1
bread,basil,bread basil,0
shrimp,soft,shrimp soft,0
yummy,juicy,yummy juicy,1
crumble,dressing,crumble dressing,0
seared,albacore,seared albacore,0
lamb,sausage,lamb sausage,1
strawberry,cucumber,strawberry cucumber,0
potato,cake,potato cake,0
lunch,coffee,lunch coffee,0
breaded,tenderloin,breaded tenderloin,0
guacamole,bean,guacamole bean,0
enchilada,omelet,enchilada omelet,0
combo,spicy,combo spicy,0
mushroom,skewer,mushroom skewer,0
sliced,tomato,sliced tomato,1
closeup,honey,closeup honey,0
toast,hazelnut,toast hazelnut,1
nigiri,love,nigiri love,0
brussel,greek,brussel greek,0
strawberry,like,strawberry like,1
fresh,pistachio,fresh pistachio,0
quail,marinated,quail marinated,1
onion,green,onion green,0
pepper,crema,pepper crema,0
old,snack,old snack,0
hummu,house,hummu house,0
roe,fresh,roe fresh,0
sushi,plate,sushi plate,0
avocado,caesar,avocado caesar,0
browny,hojicha,browny hojicha,0
fire,roasted,fire roasted,0
cheese,sandwich,cheese sandwich,1
tea,mousse,tea mousse,0
adobo,omelet,adobo omelet,0
rice,grilled,rice grilled,0
fungu,vinegar,fungu vinegar,0
sushi,toro,sushi toro,0
pineapple,sauce,pineapple sauce,1
rib,shrimp,rib shrimp,0
dry,wing,dry wing,0
citru,vinaigrette,citru vinaigrette,0
crusted,pork,crusted pork,1
omakase,crab,omakase crab,1
cream,custard,cream custard,0
crab,cucumber,crab cucumber,0
slaw,swiss,slaw swiss,0
couscou,red,couscou red,0
baked,potato,baked potato,1
meat,noodle,meat noodle,0
fish,shrimp,fish shrimp,0
pudding,blackberry,pudding blackberry,1
ricottum,cheesecake,ricottum cheesecake,0
lobster,poutine,lobster poutine,1
iberico,pork,iberico pork,1
spinach,deliciou,spinach deliciou,0
platter,like,platter like,0
bowl,sushi,bowl sushi,0
blueberry,white,blueberry white,0
organic,mix,organic mix,0
pork,tonkatsu,pork tonkatsu,0
green,wrapped,green wrapped,1
aged,goat,aged goat,0
veggie,bacon,veggie bacon,1
prosciutto,parmigiana,prosciutto parmigiana,0
vega,butter,vega butter,0
pork,topped,pork topped,0
cheesecake,raspberry,cheesecake raspberry,1
juicy,sliced,juicy sliced,0
medium,bean,medium bean,0
complimentary,hummu,complimentary hummu,0
prosciutto,mascarpone,prosciutto mascarpone,0
deliciou,came,deliciou came,0
salad,scratch,salad scratch,0
japanese,slaw,japanese slaw,1
strawberry,vanilla,strawberry vanilla,0
grill,meat,grill meat,1
dessert,treat,dessert treat,0
croissant,breakfast,croissant breakfast,0
coffee,filled,coffee filled,0
berry,belgian,berry belgian,0
fresh,tempura,fresh tempura,0
kabob,fry,kabob fry,0
asparagu,bacon,asparagu bacon,0
came,hot,came hot,1
candied,nut,candied nut,1
carbonara,shrimp,carbonara shrimp,0
bone,meat,bone meat,0
dressing,sauce,dressing sauce,0
pea,carrot,pea carrot,1
topping,fresh,topping fresh,0
bowl,bbq,bowl bbq,0
parsley,salad,parsley salad,0
banana,macadamium,banana macadamium,0
brunch,tomato,brunch tomato,0
karaage,spicy,karaage spicy,0
sweet,chicken,sweet chicken,1
pizza,fried,pizza fried,1
cold,mixed,cold mixed,0
cheese,happy,cheese happy,0
tempura,baked,tempura baked,1
soft,cup,soft cup,0
grilled,sliced,grilled sliced,0
dough,baked,dough baked,0
spicy,corn,spicy corn,1
pickled,vegetable,pickled vegetable,0
soggy,flavor,soggy flavor,0
toasted,meringue,toasted meringue,0
beef,chip,beef chip,0
matcha,fried,matcha fried,1
lemon,vinaigrette,lemon vinaigrette,1
pepper,cilantro,pepper cilantro,1
pork,sandwhich,pork sandwhich,0
cupcake,baklava,cupcake baklava,0
lemon,strawberry,lemon strawberry,0
fry,cute,fry cute,0
double,jam,double jam,0
tuna,green,tuna green,0
brioche,pudding,brioche pudding,0
pastum,fresh,pastum fresh,0
love,dressing,love dressing,0
apple,chocolate,apple chocolate,0
avocado,unagi,avocado unagi,0
big,bowl,big bowl,0
pork,sandwich,pork sandwich,1
matcha,hong,matcha hong,1
plate,chilli,plate chilli,0
combo,hot,combo hot,0
japanese,cucumber,japanese cucumber,0
chick,sauce,chick sauce,0
nigiri,dragon,nigiri dragon,0
bacon,souffle,bacon souffle,1
dumpling,small,dumpling small,0
orange,thick,orange thick,0
spaghetti,bean,spaghetti bean,0
sausage,lamb,sausage lamb,0
bacon,turkey,bacon turkey,1
poutine,crispy,poutine crispy,0
parmesan,housemade,parmesan housemade,0
doughnut,old,doughnut old,0
slouse,grilled,slouse grilled,1
beef,set,beef set,0
jasmine,tea,jasmine tea,1
fruit,guava,fruit guava,0
chicken,combo,chicken combo,1
creamy,penne,creamy penne,1
breast,balsamic,breast balsamic,0
cooky,fruit,cooky fruit,0
dessert,homemade,dessert homemade,0
potato,yam,potato yam,0
plantum,burger,plantum burger,1
caramel,cooky,caramel cooky,0
beef,trout,beef trout,0
fish,cream,fish cream,1
beet,cheesecake,beet cheesecake,1
gravy,roasted,gravy roasted,0
spinach,mascarpone,spinach mascarpone,1
clam,calamari,clam calamari,0
crab,roe,crab roe,1
seafood,pizza,seafood pizza,1
empanada,pastry,empanada pastry,0
avocado,scrumptiou,avocado scrumptiou,0
bowl,half,bowl half,0
kimchi,hot,kimchi hot,1
pig,sandwich,pig sandwich,1
kimchi,spicy,kimchi spicy,1
clam,broth,clam broth,1
salmon,black,salmon black,0
alba,white,alba white,0
pick,cheesy,pick cheesy,0
like,crostini,like crostini,0
lemon,basil,lemon basil,0
bread,filling,bread filling,1
thai,spice,thai spice,0
souffle,cake,souffle cake,0
bbq,cauliflower,bbq cauliflower,0
matcha,swirl,matcha swirl,0
roll,super,roll super,0
bean,portion,bean portion,0
almond,cookie,almond cookie,1
waffle,pad,waffle pad,0
salad,brioche,salad brioche,0
gelato,cone,gelato cone,1
bean,rainbow,bean rainbow,0
glaze,topping,glaze topping,0
tasty,served,tasty served,0
arugula,chicken,arugula chicken,0
mango,spice,mango spice,1
crunchy,buttermilk,crunchy buttermilk,0
deliciou,chocolate,deliciou chocolate,0
happy,wedding,happy wedding,0
sauce,dish,sauce dish,0
avocado,romaine,avocado romaine,0
tuna,atlantic,tuna atlantic,0
belgian,candied,belgian candied,1
noodle,like,noodle like,0
shrimp,caesar,shrimp caesar,0
daikon,radish,daikon radish,1
mushroom,scallion,mushroom scallion,0
veal,bone,veal bone,0
pancake,hazelnut,pancake hazelnut,0
sashimi,roll,sashimi roll,1
cheese,blueberry,cheese blueberry,0
food,sushi,food sushi,0
famou,sandwich,famou sandwich,0
pure,maple,pure maple,0
ball,crab,ball crab,0
style,egg,style egg,0
deliciou,half,deliciou half,0
roll,chopped,roll chopped,1
kebab,platter,kebab platter,0
ham,provolone,ham provolone,0
kale,chicken,kale chicken,0
raspberry,pumpkin,raspberry pumpkin,1
charred,octopus,charred octopus,1
grilled,artichoke,grilled artichoke,0
soft,mochi,soft mochi,1
strip,lobster,strip lobster,0
lime,crema,lime crema,1
crisp,dark,crisp dark,0
topped,ice,topped ice,0
carpaccio,squid,carpaccio squid,0
creamy,carrot,creamy carrot,1
salad,pita,salad pita,0
vega,chef,vega chef,0
fried,doughnut,fried doughnut,1
flavor,dry,flavor dry,0
style,cheese,style cheese,0
asian,shrimp,asian shrimp,1
chicken,satay,chicken satay,0
thai,crunch,thai crunch,0
bowl,nori,bowl nori,0
fatty,love,fatty love,0
pickled,red,pickled red,0
cajun,seasoning,cajun seasoning,0
nacho,appetizer,nacho appetizer,0
special,chicken,special chicken,0
cup,pineapple,cup pineapple,0
sushi,dinner,sushi dinner,0
omelette,turkey,omelette turkey,0
gourmet,waffle,gourmet waffle,0
ocean,poke,ocean poke,0
warm,potato,warm potato,1
sushi,combo,sushi combo,1
shrimp,burger,shrimp burger,1
burrito,tuna,burrito tuna,0
grilled,veal,grilled veal,1
taiwanese,popcorn,taiwanese popcorn,0
endoedible,pumpkin,endoedible pumpkin,0
breakfast,vanilla,breakfast vanilla,0
green,lettuce,green lettuce,1
cauliflower,olife,cauliflower olife,0
warm,doughnut,warm doughnut,1
pancake,brioche,pancake brioche,0
vegetable,skewer,vegetable skewer,1
lofe,deviled,lofe deviled,0
chip,style,chip style,0
sesame,poblano,sesame poblano,0
egg,coconut,egg coconut,0
katsu,burnt,katsu burnt,1
dessert,khao,dessert khao,0
kebab,quail,kebab quail,0
hummu,soft,hummu soft,0
bacon,sauce,bacon sauce,1
pistachio,crusted,pistachio crusted,0
grilled,falafel,grilled falafel,1
chicken,waffle,chicken waffle,0
chorizo,pepper,chorizo pepper,0
love,trio,love trio,0
olife,fresh,olife fresh,0
octopus,skewer,octopus skewer,1
waffle,veggie,waffle veggie,1
smoked,trout,smoked trout,1
sea,squid,sea squid,0
shrimp,sushi,shrimp sushi,1
poke,lobster,poke lobster,0
chip,breakfast,chip breakfast,0
butter,crisp,butter crisp,0
portion,chimichurri,portion chimichurri,0
pastrami,sandwich,pastrami sandwich,0
cream,lime,cream lime,0
cheddar,provolone,cheddar provolone,0
papaya,egg,papaya egg,0
crispy,perfect,crispy perfect,0
fry,tofu,fry tofu,0
dough,ball,dough ball,0
chili,lemon,chili lemon,0
extra,soup,extra soup,0
scallion,lemon,scallion lemon,1
sizzling,plate,sizzling plate,0
cake,salsa,cake salsa,0
tenderloin,chicken,tenderloin chicken,0
avocado,toasted,avocado toasted,1
cabbage,pico,cabbage pico,0
deliciou,cornbread,deliciou cornbread,0
meat,board,meat board,0
ponzu,salsa,ponzu salsa,0
masala,chili,masala chili,0
drunken,clam,drunken clam,0
blueberry,tart,blueberry tart,1
kebab,rice,kebab rice,0
rice,box,rice box,0
basket,yummy,basket yummy,0
bowl,toast,bowl toast,1
chocolate,chip,chocolate chip,1
like,fish,like fish,0
mushroom,instead,mushroom instead,0
swirl,coffee,swirl coffee,0
macaron,caramel,macaron caramel,0
dragon,angel,dragon angel,0
breast,swiss,breast swiss,0
dish,tofu,dish tofu,0
tofu,like,tofu like,0
rib,meatball,rib meatball,1
californium,quinoa,californium quinoa,0
spice,serving,spice serving,0
raisin,cream,raisin cream,1
assortment,phoenix,assortment phoenix,0
grilled,halibut,grilled halibut,1
snow,chilli,snow chilli,0
deliciou,wedding,deliciou wedding,0
vegetarian,calamari,vegetarian calamari,0
yummy,yaki,yummy yaki,0
raspberry,sauce,raspberry sauce,1
seafood,bowl,seafood bowl,1
famou,shredded,famou shredded,0
albacore,nigiri,albacore nigiri,0
grilled,calamari,grilled calamari,0
dumpling,piece,dumpling piece,0
pie,vegetable,pie vegetable,0
chashu,raman,chashu raman,0
caramel,apple,caramel apple,1
big,breakfast,big breakfast,0
cupcake,flavor,cupcake flavor,0
sun,sushi,sun sushi,0
sandwich,happy,sandwich happy,0
crab,onion,crab onion,0
enchilada,yummy,enchilada yummy,0
tea,honey,tea honey,0
onion,sesame,onion sesame,0
aka,caramel,aka caramel,0
noodle,wrapped,noodle wrapped,0
juice,short,juice short,0
salsa,deliciou,salsa deliciou,0
sashimi,dinner,sashimi dinner,0
katsu,white,katsu white,0
artisan,lamb,artisan lamb,1
scallop,crab,scallop crab,0
white,macadamium,white macadamium,0
cajun,crab,cajun crab,0
fat,tasty,fat tasty,0
peanut,dipping,peanut dipping,0
pancake,scratch,pancake scratch,0
cheese,omelet,cheese omelet,1
glazed,almond,glazed almond,1
cold,brew,cold brew,1
crab,fried,crab fried,1
nacho,layered,nacho layered,0
cauliflower,mushroom,cauliflower mushroom,0
yuzu,lemon,yuzu lemon,0
truffle,potato,truffle potato,0
spicy,condiment,spicy condiment,0
spaghetti,carbonara,spaghetti carbonara,1
marinated,beef,marinated beef,1
zucchini,appetizer,zucchini appetizer,0
kaftum,beef,kaftum beef,0
free,box,free box,0
bread,organic,bread organic,1
teriyaki,turkey,teriyaki turkey,1
branzino,mushroom,branzino mushroom,0
tempura,ice,tempura ice,0
vegetable,goat,vegetable goat,0
asian,kalbi,asian kalbi,0
carson,glazed,carson glazed,0
sauce,seaweed,sauce seaweed,0
cheese,deliciou,cheese deliciou,0
raspberry,cookie,raspberry cookie,1
golden,tiger,golden tiger,0
katsu,mushroom,katsu mushroom,0
red,homemade,red homemade,0
prosciutto,sweet,prosciutto sweet,1
butter,ganache,butter ganache,0
egg,cheesy,egg cheesy,0
tomato,heart,tomato heart,0
butter,frosting,butter frosting,1
charcuterie,antipasto,charcuterie antipasto,0
toasted,peanut,toasted peanut,0
beef,vega,beef vega,0
tart,mousse,tart mousse,0
spot,sweet,spot sweet,0
mango,meringue,mango meringue,0
chef,vegetarian,chef vegetarian,0
bowl,pepper,bowl pepper,0
raw,walnut,raw walnut,1
avocado,croissant,avocado croissant,0
flavor,topping,flavor topping,0
sun,burger,sun burger,0
steak,pork,steak pork,1
noodle,seafood,noodle seafood,0
avocado,ponzu,avocado ponzu,0
marrow,parsley,marrow parsley,0
honey,bread,honey bread,1
wasabi,grilled,wasabi grilled,1
shoyu,bulgogi,shoyu bulgogi,0
roasted,spicy,roasted spicy,0
sesame,cake,sesame cake,0
honey,crumble,honey crumble,0
half,pork,half pork,0
vegan,board,vegan board,0
matcha,egg,matcha egg,0
syrup,deliciou,syrup deliciou,0
day,boat,day boat,0
pepperoni,pizza,pepperoni pizza,0
entree,rice,entree rice,0
asparagu,cheese,asparagu cheese,0
apple,py,apple py,0
mango,sauce,mango sauce,0
shot,margarita,shot margarita,0
taco,calamari,taco calamari,0
cha,roll,cha roll,0
cream,bubble,cream bubble,0
bread,butter,bread butter,1
honey,latte,honey latte,0
chicken,bento,chicken bento,0
cheese,strawberry,cheese strawberry,0
salted,vanilla,salted vanilla,0
love,room,love room,0
vegan,cinnamon,vegan cinnamon,0
meatball,chicken,meatball chicken,1
brown,buttermilk,brown buttermilk,0
goman,aka,goman aka,0
potato,bbq,potato bbq,0
egg,roll,egg roll,0
cherry,cake,cherry cake,0
bomb,tomato,bomb tomato,0
gravy,like,gravy like,0
calamari,little,calamari little,0
cheese,rock,cheese rock,0
oreo,matcha,oreo matcha,0
hash,crispy,hash crispy,0
bun,sandwich,bun sandwich,1
margaritum,fresh,margaritum fresh,0
big,meal,big meal,0
brie,apple,brie apple,0
baked,pop,baked pop,0
filling,chocolate,filling chocolate,0
sunny,salmon,sunny salmon,0
filet,crispy,filet crispy,1
seed,crab,seed crab,0
garlic,crab,garlic crab,0
style,papaya,style papaya,0
cauliflower,cream,cauliflower cream,1
pork,bomb,pork bomb,0
sea,fish,sea fish,1
syrup,house,syrup house,0
butter,macaroon,butter macaroon,1
adobada,fry,adobada fry,0
flavorful,bread,flavorful bread,0
free,maple,free maple,0
style,sweet,style sweet,0
brussel,elote,brussel elote,0
lime,jelly,lime jelly,1
pineapple,slaw,pineapple slaw,0
crunchy,shrimp,crunchy shrimp,0
chocolate,cinnamon,chocolate cinnamon,0
aged,fry,aged fry,0
cream,infused,cream infused,0
leg,sushi,leg sushi,0
apple,deliciou,apple deliciou,0
chip,monster,chip monster,0
spicy,albacore,spicy albacore,1
tartare,crispy,tartare crispy,1
black,white,black white,0
dried,angu,dried angu,0
bite,creamy,bite creamy,0
sweet,came,sweet came,1
tasty,sauce,tasty sauce,0
appetizer,scallop,appetizer scallop,0
raspberry,sorbet,raspberry sorbet,0
tonkotsu,soy,tonkotsu soy,0
cornbread,sriracha,cornbread sriracha,0
bbq,masala,bbq masala,0
famou,vegan,famou vegan,0
gravy,crisp,gravy crisp,0
lettuce,avocado,lettuce avocado,0
flavorful,order,flavorful order,0
vinegar,aioli,vinegar aioli,0
sea,skewer,sea skewer,0
mushroom,walnut,mushroom walnut,0
dish,chocolate,dish chocolate,0
tomato,smoked,tomato smoked,0
tea,wing,tea wing,0
wrapped,crisp,wrapped crisp,0
vinegar,seasonal,vinegar seasonal,0
taco,roasted,taco roasted,0
sashimi,seared,sashimi seared,0
donut,torched,donut torched,0
blue,syrup,blue syrup,0
shawarma,platter,shawarma platter,0
angel,cream,angel cream,1
chicken,small,chicken small,1
wing,marinated,wing marinated,0
dry,rice,dry rice,1
sauce,smoked,sauce smoked,1
combination,extra,combination extra,0
spot,coffee,spot coffee,0
rice,hummu,rice hummu,0
house,tomato,house tomato,0
chop,baked,chop baked,0
sauce,famou,sauce famou,0
crepe,little,crepe little,0
endoedible,oreo,endoedible oreo,0
caesar,dressing,caesar dressing,0
carrot,cupcake,carrot cupcake,0
curry,flavor,curry flavor,0
cottum,chef,cottum chef,0
pumpkin,scone,pumpkin scone,0
like,brie,like brie,0
raman,topping,raman topping,0
spaghetti,fresh,spaghetti fresh,0
prosciutto,basil,prosciutto basil,0
lech,cake,lech cake,0
aioli,burger,aioli burger,0
fried,pancake,fried pancake,1
carrot,fennel,carrot fennel,0
vodka,cured,vodka cured,0
cheese,ham,cheese ham,0
pizza,baguette,pizza baguette,1
salmon,pork,salmon pork,0
burger,medium,burger medium,0
special,mini,special mini,0
cheese,large,cheese large,0
charred,marshmallow,charred marshmallow,0
lasagna,tomato,lasagna tomato,0
golden,deliciou,golden deliciou,0
leafe,garlic,leafe garlic,0
masala,rice,masala rice,0
pecan,coconut,pecan coconut,0
pancake,little,pancake little,0
bacon,bomb,bacon bomb,0
californium,dragon,californium dragon,0
spaghetti,cheese,spaghetti cheese,0
chicken,ye,chicken ye,0
ricottum,toasted,ricottum toasted,1
cinnamon,condensed,cinnamon condensed,0
brunch,jam,brunch jam,0
gelato,sound,gelato sound,0
combo,breast,combo breast,0
marinated,banana,marinated banana,1
deliciou,lunch,deliciou lunch,0
beef,kebab,beef kebab,0
chip,beer,chip beer,0
noodle,bean,noodle bean,0
day,mediterranean,day mediterranean,0
